Date,Site,Logger,WNStime,Season,WNSWinters,Ct,Pd,Type,slope,intercept,logDNA,x,z,Tmean,Tmedian,Tsd,Tmin,Tmax,Trange
8/17/12,3,113,5,Summer,2,0,0,swab,-3.378,36.924,0,24.3,2.17,NA,NA,NA,NA,NA,NA
8/17/12,3,114,5,Summer,2,35.75,1,swab,-3.378,36.924,0.35,36.3,1.5,NA,NA,NA,NA,NA,NA
8/17/12,3,115,5,Summer,2,0,0,swab,-3.518,38.156,0,36.3,1.25,NA,NA,NA,NA,NA,NA
8/17/12,3,116,5,Summer,2,0,0,swab,-3.518,38.156,0,36.3,1.56,14.105,14.105,0,14.105,14.105,0
8/17/12,3,117,5,Summer,2,33.56,1,sediment,-3.432,37.741,1.22,36.3,0,NA,NA,NA,NA,NA,NA
8/17/12,3,117,5,Summer,2,0,0,swab,-3.518,38.156,0,36.3,1.37,NA,NA,NA,NA,NA,NA
8/17/12,3,118,5,Summer,2,31.63,1,swab,-3.518,38.156,1.86,36.3,1.7,NA,NA,NA,NA,NA,NA
8/17/12,3,119,5,Summer,2,0,0,swab,-3.518,38.156,0,36.69,1.53,NA,NA,NA,NA,NA,NA
8/17/12,3,120,5,Summer,2,0,0,swab,-3.518,38.156,0,36.69,1.45,14.11766667,14.097,0.03579572,14.097,14.159,0.062
8/17/12,3,121,5,Summer,2,0,0,swab,-3.518,38.156,0,37.08,2.31,NA,NA,NA,NA,NA,NA
8/17/12,3,122,5,Summer,2,0,0,sediment,-3.432,37.741,0,36.69,0,NA,NA,NA,NA,NA,NA
8/17/12,3,122,5,Summer,2,34.76,1,swab,-3.518,38.156,0.97,36.69,1.56,NA,NA,NA,NA,NA,NA
8/17/12,3,123,5,Summer,2,0,0,swab,-3.518,38.156,0,37.08,1.59,14.22766667,14.207,0.03579572,14.207,14.269,0.062
8/17/12,3,124,5,Summer,2,0,0,swab,-3.518,38.156,0,37.08,1.4,NA,NA,NA,NA,NA,NA
8/17/12,3,125,5,Summer,2,35.96,1,swab,-3.518,38.156,0.62,37.08,1.45,14.147,14.147,0,14.147,14.147,0
8/17/12,3,125,5,Summer,2,37.25,1,sediment,-3.432,37.741,0.14,37.08,0,14.147,14.147,0,14.147,14.147,0
8/17/12,3,201,5,Summer,2,0,0,swab,-3.518,38.156,0,157.9,2.09,14.196,14.196,0,14.196,14.196,0
8/17/12,3,202,5,Summer,2,0,0,swab,-3.518,38.156,0,157.9,2.02,NA,NA,NA,NA,NA,NA
8/17/12,3,203,5,Summer,2,37.72,1,swab,-3.518,38.156,0.13,157.9,2.25,NA,NA,NA,NA,NA,NA
8/17/12,3,204,5,Summer,2,0,0,swab,-3.518,38.156,0,157.9,1.96,NA,NA,NA,NA,NA,NA
8/17/12,3,205,5,Summer,2,0,0,swab,-3.518,38.156,0,157.9,1.24,NA,NA,NA,NA,NA,NA
8/17/12,3,206,5,Summer,2,0,0,swab,-3.518,38.156,0,157.9,1.23,14.071,14.071,0,14.071,14.071,0
8/17/12,3,207,5,Summer,2,37.59,1,swab,-3.518,38.156,0.16,157.9,1.29,NA,NA,NA,NA,NA,NA
8/17/12,3,208,5,Summer,2,0,0,swab,-3.518,38.156,0,157.9,1.93,14.097,14.097,0,14.097,14.097,0
8/17/12,3,209,5,Summer,2,38.43,1,swab,-3.518,38.156,-0.08,157.9,1.39,NA,NA,NA,NA,NA,NA
8/17/12,3,210,5,Summer,2,0,0,swab,-3.518,38.156,0,160.8,1.03,NA,NA,NA,NA,NA,NA
8/17/12,3,211,5,Summer,2,0,0,swab,-3.518,38.156,0,160.8,1.13,NA,NA,NA,NA,NA,NA
8/17/12,3,212,5,Summer,2,0,0,swab,-3.518,38.156,0,160.8,1.94,NA,NA,NA,NA,NA,NA
